L,lambda,lambda_x,lambda_zz,B_mean,B_std,B_sem,n_seeds,S2_mean,S4_mean,ntrials_mean
8,0.1,0.1,0.9,0.6658295629267469,0.00013103117184289195,2.929946074121628e-5,20,3.9799136348464232,15.879490488199787,2000.0
8,0.2,0.2,0.8,0.65954473769196,0.0003707416554574126,8.290035436935803e-5,20,3.8626537247081183,15.238866877395385,2000.0
8,0.3,0.3,0.7,0.6342349287465538,0.001269195950078071,0.0002838008421141996,20,3.4897963526386255,13.363482256069886,2000.0
8,0.35,0.35,0.65,0.6082581983712454,0.00113700258338968,0.0002542415067052197,20,3.176942302588629,11.86142676597969,2000.0
8,0.4,0.4,0.6,0.5699663367104568,0.0018972317622854347,0.0004242339189541954,20,2.7927188965029424,10.061697522669624,2000.0
8,0.42,0.42,0.5800000000000001,0.5509636643981449,0.0023714396400513903,0.0005302700239692541,20,2.6279622327121066,9.303175614133483,2000.0
8,0.44,0.44,0.56,0.530394460734277,0.0024088488774647804,0.000538634983753531,20,2.4630792994542055,8.546772175864131,2000.0
8,0.46,0.46,0.54,0.5081565434265984,0.0018997942421661892,0.0004248069068746296,20,2.300333029710539,7.807727523629836,2000.0
8,0.47,0.47,0.53,0.49609145910366514,0.0024683153892569227,0.0005519321000287333,20,2.2180262948507954,7.437028130377405,2000.0
8,0.48,0.48,0.52,0.48378870254755196,0.0026905577111028555,0.0006016269939412226,20,2.1383551565197365,7.081092136402004,2000.0
8,0.49,0.49,0.51,0.47155335466331466,0.002604058186209239,0.0005822851121728664,20,2.060905303937057,6.733359720607524,2000.0
8,0.5,0.5,0.5,0.4588766998816201,0.0020788066394906097,0.0004648352957978902,20,1.9847110601603313,6.394528284447382,2000.0
8,0.51,0.51,0.49,0.444952410227744,0.002112396884284415,0.00047234630287187093,20,1.9049375915684994,6.042400343166703,2000.0
8,0.52,0.52,0.48,0.43123434348644174,0.0018127030993114212,0.000405332735308489,20,1.8297071560710894,5.712354351858964,2000.0
8,0.53,0.53,0.47,0.4178052169729539,0.0021654031368700272,0.00048419886127326617,20,1.758550400530849,5.401269440470875,2000.0
8,0.54,0.54,0.45999999999999996,0.40347524685754327,0.0018705080531720118,0.00041825831593534095,20,1.686959980544112,5.092820554476893,2000.0
8,0.55,0.55,0.44999999999999996,0.389714763041303,0.002935368877612555,0.0006734198052382914,19,1.6201573293498401,4.805769924321496,2000.0
8,0.6,0.6,0.4,0.3197752264910279,0.0020566504850870527,0.0004598810290612567,20,1.314865139030426,3.528054387155721,2000.0
8,0.65,0.65,0.35,0.25640209606307574,0.0013131699364624383,0.0002936337243939092,20,1.073319301511185,2.569908677364697,2000.0
8,0.7,0.7,0.30000000000000004,0.2036101286111594,0.0010757377147005897,0.00024054226560307933,20,0.8888891604722108,1.8877447943886143,2000.0
8,0.8,0.8,0.19999999999999996,0.1324851820572821,0.00022461553251496355,5.022555995057728e-5,20,0.6534898865512431,1.1114146175026547,2000.0
8,0.9,0.9,0.09999999999999998,0.09511902260565194,2.5321896488859158e-5,5.8092414659860245e-6,19,0.5357700065305403,0.7792369051288934,2000.0
10,0.1,0.1,0.9,0.6661020117378544,8.200482880096855e-5,1.8336837168219823e-5,20,6.224921170344997,38.815285389505235,2000.0
10,0.2,0.2,0.8,0.6608287472964129,0.0003077356112668369,6.881177458900974e-5,20,6.049808657793134,37.24118123966323,2000.0
10,0.3,0.3,0.7,0.6361990633862412,0.000893203846922034,0.0001997264519481984,20,5.439698281977507,32.29480118024748,2000.0
10,0.35,0.35,0.65,0.6082099852456607,0.0008832306948742885,0.0001974963873553284,20,4.891761318948415,28.125735126476663,2000.0
10,0.4,0.4,0.6,0.5645586972574721,0.002036812561495809,0.0004554451344930099,20,4.203226823901426,23.078605521053625,2000.0
10,0.42,0.42,0.5800000000000001,0.5420679435963285,0.0020037639819033195,0.00044805524744014806,20,3.9051319552056105,20.95018646414396,2000.0
10,0.44,0.44,0.56,0.5172738614825738,0.0027572241042960553,0.0006165340526406949,20,3.6089386873421327,18.86125998925213,2000.0
10,0.46,0.46,0.54,0.4908264439182043,0.0024096830217229656,0.0005388215040799654,20,3.3238817193810375,16.87609192339291,2000.0
10,0.47,0.47,0.53,0.47694518984093415,0.002506066141039374,0.0005603734247474616,20,3.186255148203251,15.930274997115339,2000.0
10,0.48,0.48,0.52,0.4622868975083041,0.0027932572554113643,0.0006408171631394693,19,3.046834142080453,14.974814712374908,2000.0
10,0.49,0.49,0.51,0.4470985061867903,0.002732931229215529,0.0006441580682315959,18,2.910705858023925,14.052636678655178,2000.0
